date,confirmed,deaths
2020-08-07,84,0
2020-08-08,85,0
2020-08-09,91,0
2020-08-10,90,0
2020-08-11,90,0
2020-08-12,95,0
2020-08-13,97,0
2020-08-14,102,0
2020-08-15,103,0
2020-08-16,106,0
2020-08-17,106,0
2020-08-18,107,0
2020-08-19,106,0
2020-08-20,109,0
2020-08-21,110,0
2020-08-22,110,0
2020-08-23,111,0
2020-08-24,113,0
2020-08-25,113,0
2020-08-26,115,0
2020-08-27,117,0
2020-08-28,119,0
2020-08-29,119,0
2020-08-30,121,0
2020-08-31,122,0
2020-09-01,122,0
2020-09-02,122,0
2020-09-03,123,0
2020-09-04,124,0
2020-09-05,130,0
2020-09-06,132,0
2020-09-07,136,0
2020-09-08,140,0
2020-09-09,141,0
2020-09-10,149,0
2020-09-11,158,0
2020-09-12,163,0
2020-09-13,167,0
2020-09-14,167,0
2020-09-15,174,0
2020-09-16,191,0
2020-09-17,198,0
2020-09-18,209,0
2020-09-19,217,0
2020-09-20,219,0
2020-09-21,231,0
2020-09-22,238,0
2020-09-23,250,0
2020-09-24,254,0
2020-09-25,265,0
2020-09-26,270,0
2020-09-27,274,0
2020-09-28,280,0
2020-09-29,286,0
2020-09-30,290,0
2020-10-01,300,0
2020-10-02,308,0
2020-10-03,312,0
2020-10-04,322,0
2020-10-05,326,0
2020-10-06,329,0
2020-10-07,336,0
2020-10-08,352,0
2020-10-09,366,0
2020-10-10,369,0
2020-10-11,374,0
2020-10-12,378,0
2020-10-13,384,0
2020-10-14,396,0
2020-10-15,406,0
2020-10-16,411,0
2020-10-17,411,0
2020-10-18,415,0
2020-10-19,422,0
2020-10-20,428,0
2020-10-21,445,0
2020-10-22,446,0
2020-10-23,451,0
2020-10-24,461,0
2020-10-25,466,0
2020-10-26,469,0
2020-10-27,477,0
2020-10-28,487,0
2020-10-29,497,0
2020-10-30,502,0
2020-10-31,510,0
2020-11-01,519,0
2020-11-02,528,0
2020-11-03,536,0
2020-11-04,550,1
2020-11-05,563,1
2020-11-06,573,1
2020-11-07,602,1
2020-11-08,633,1
2020-11-09,652,1
2020-11-10,663,1
2020-11-11,685,1
2020-11-12,700,1
2020-11-13,738,2
2020-11-14,765,2
2020-11-15,778,2
2020-11-16,796,3
2020-11-17,803,3
2020-11-18,831,3
2020-11-19,878,3
2020-11-20,896,4
2020-11-21,919,4
2020-11-22,921,4
2020-11-23,946,4
2020-11-24,967,5
2020-11-25,1007,6
2020-11-26,1023,6
2020-11-27,1042,6
2020-11-28,1057,6
2020-11-29,1066,7
2020-11-30,1084,7
2020-12-01,1102,7
2020-12-02,1160,8
2020-12-03,1175,8
2020-12-04,1200,9
2020-12-05,1213,9
2020-12-06,1230,9
2020-12-07,1245,9
2020-12-08,1246,20
2020-12-09,1326,21
2020-12-10,1332,21
2020-12-11,1351,22
2020-12-12,1357,22
2020-12-13,1361,22
2020-12-14,1369,23
2020-12-15,1383,23
2020-12-16,1402,23
2020-12-17,1410,24
2020-12-18,1423,24
2020-12-19,1437,25
2020-12-20,1440,25
2020-12-21,1447,25
2020-12-22,1457,26
2020-12-23,1465,26
2020-12-24,1468,27
2020-12-25,1470,28
2020-12-26,1472,28
2020-12-27,1474,28
2020-12-28,1479,28
2020-12-29,1535,29
2020-12-30,1550,29
2020-12-31,1555,32
2021-01-01,1559,32
2021-01-02,1566,32
2021-01-03,1566,32
2021-01-04,1572,32
2021-01-05,1575,32
2021-01-06,1584,35
2021-01-07,1607,35
2021-01-08,1619,35
2021-01-09,1629,35
2021-01-10,1636,35
2021-01-11,1652,35
2021-01-12,1661,41
2021-01-13,1683,41
2021-01-14,1692,41
2021-01-15,1701,41
2021-01-16,1704,43
2021-01-17,1714,43
2021-01-18,1721,43
2021-01-19,1736,44
2021-01-20,1748,44
2021-01-21,1777,44
2021-01-22,1785,44
2021-01-23,1785,44
2021-01-24,1806,44
2021-01-25,1809,44
2021-01-26,1822,44
2021-01-27,1822,44
2021-01-28,1838,44
2021-01-29,1845,45
2021-01-30,1854,45
2021-01-31,1854,49
2021-02-01,1861,49
2021-02-02,1880,49
2021-02-03,1889,51
2021-02-04,1892,51
2021-02-05,1893,51
2021-02-06,1897,52
2021-02-07,1899,52
2021-02-08,1904,52
2021-02-09,1906,52
2021-02-10,1908,52
2021-02-11,1915,52
2021-02-12,1921,52
2021-02-13,1922,52
2021-02-14,1925,52
2021-02-15,1930,52
2021-02-16,1932,54
2021-02-17,1937,54
2021-02-18,1940,54
2021-02-19,1941,54
2021-02-20,1941,54
2021-02-21,1941,54
2021-02-22,1941,54
2021-02-23,1941,54
2021-02-24,1941,54
2021-02-25,1966,54
2021-02-26,1967,54
2021-02-27,1967,54
2021-02-28,1967,54
2021-03-01,1975,54
2021-03-02,1975,55
2021-03-03,1977,55
2021-03-04,1981,55
2021-03-05,1987,55
2021-03-06,1987,55
2021-03-07,1987,55
2021-03-08,1986,55
2021-03-09,1987,55
2021-03-10,1991,55
2021-03-11,1995,57
2021-03-12,1998,57
2021-03-13,2007,57
2021-03-14,2011,57
2021-03-15,2014,57
2021-03-16,2017,57
2021-03-17,2019,57
2021-03-18,2025,57
2021-03-19,2030,57
2021-03-20,2036,58
2021-03-21,2035,58
2021-03-22,2036,58
2021-03-23,2043,58
2021-03-24,2052,58
2021-03-25,2058,58
2021-03-26,2062,58
2021-03-27,2064,58
2021-03-28,2066,58
2021-03-29,2067,58
2021-03-30,2072,58
2021-03-31,2076,58
2021-04-01,2080,58
2021-04-02,2084,58
2021-04-03,2091,60
2021-04-04,2092,60
2021-04-05,2093,60
2021-04-06,2099,60
2021-04-07,2103,61
2021-04-08,2109,61
2021-04-09,2111,61
2021-04-10,2114,61
2021-04-11,2114,61
2021-04-12,2115,61
2021-04-13,2120,62
2021-04-14,2123,62
2021-04-15,2123,62
2021-04-16,2125,62
2021-04-17,2126,63
2021-04-18,2128,63
2021-04-19,2131,63
2021-04-20,2136,63
2021-04-21,2137,63
2021-04-22,2138,64
2021-04-23,2140,64
2021-04-24,2141,64
2021-04-25,2142,64
2021-04-26,2142,64
2021-04-27,2144,64
2021-04-28,2143,64
2021-04-29,2144,64
2021-04-30,2144,64
2021-05-01,2145,64
2021-05-02,2146,64
2021-05-03,2146,64
2021-05-04,2146,64
2021-05-05,2147,64
2021-05-06,2152,64
2021-05-07,2151,64
2021-05-08,2151,64
2021-05-09,2152,64
2021-05-10,2152,64
2021-05-11,2152,64
2021-05-12,2153,64
2021-05-13,2153,64
2021-05-14,2153,64
2021-05-15,2154,64
2021-05-16,2154,64
2021-05-17,2155,64
2021-05-18,2155,64
2021-05-19,2155,64
2021-05-20,2155,64
2021-05-21,2157,65
2021-05-22,2156,65
2021-05-23,2157,65
2021-05-24,2157,65
2021-05-25,2157,65
2021-05-26,2157,65
2021-05-27,2158,65
2021-05-28,2159,65
2021-05-29,2159,65
2021-05-30,2159,65
2021-05-31,2160,65
2021-06-01,2160,65
2021-06-02,2160,65
2021-06-03,2160,65
2021-06-04,2161,65
2021-06-05,2160,65
2021-06-06,2161,65
2021-06-07,2161,65
2021-06-08,2161,65
2021-06-09,2161,65
2021-06-10,2162,66
2021-06-11,2162,66
2021-06-12,2162,66
2021-06-13,2162,66
2021-06-14,2162,66
2021-06-15,2162,66
2021-06-16,2162,66
2021-06-17,2161,66
2021-06-18,2161,66
2021-06-19,2161,66
2021-06-20,2161,66
2021-06-21,2161,66
2021-06-22,2161,66
2021-06-23,2161,66
2021-06-24,2162,66
2021-06-25,2162,66
2021-06-26,2162,66
2021-06-27,2162,66
2021-06-28,2162,66
2021-06-29,2163,66
2021-06-30,2163,66
2021-07-01,2164,66
2021-07-02,2164,66
2021-07-03,2164,66
2021-07-04,2164,66
2021-07-05,2164,66
2021-07-06,2164,66
2021-07-07,2169,66
2021-07-08,2169,66
2021-07-09,2169,66
2021-07-10,2169,66
2021-07-11,2169,66
2021-07-12,2169,66
2021-07-13,2169,66
2021-07-14,2174,66
2021-07-15,2174,66
2021-07-16,2174,66
2021-07-17,2174,66
2021-07-18,2174,66
2021-07-19,2174,66
2021-07-20,2174,66
2021-07-21,2191,66
2021-07-22,2191,66
2021-07-23,2191,66
2021-07-24,2191,66
2021-07-25,2191,66
2021-07-26,2191,66
2021-07-27,2191,66
2021-07-28,2221,66
2021-07-29,2221,66
2021-07-30,2221,66
2021-07-31,2221,66
2021-08-01,2221,66
2021-08-02,2221,66
2021-08-03,2221,66
2021-08-04,2238,66
2021-08-05,2238,66
2021-08-06,2238,66
2021-08-07,2238,66
2021-08-08,2238,66
2021-08-09,2238,66
2021-08-10,2238,66
2021-08-11,2269,67
2021-08-12,2269,67
2021-08-13,2269,67
2021-08-14,2269,67
2021-08-15,2269,67
2021-08-16,2269,67
2021-08-17,2269,67
2021-08-18,2299,67
2021-08-19,2299,67
2021-08-20,2299,67
2021-08-21,2299,67
2021-08-22,2299,67
2021-08-23,2299,67
2021-08-24,2299,67
2021-08-25,2342,68
2021-08-26,2342,68
2021-08-27,2342,68
2021-08-28,2342,68
2021-08-29,2342,68
2021-08-30,2342,68
2021-08-31,2342,68
2021-09-01,2375,68
2021-09-02,2375,68
2021-09-03,2375,68
2021-09-04,2375,68
2021-09-05,2375,68
2021-09-06,2375,68
2021-09-07,2375,68
2021-09-08,2419,68
2021-09-09,2419,68
2021-09-10,2419,68
2021-09-11,2419,68
2021-09-12,2419,68
2021-09-13,2419,68
2021-09-14,2419,68
2021-09-15,2514,71
2021-09-16,2514,71
2021-09-17,2514,71
2021-09-18,2514,71
2021-09-19,2514,71
2021-09-20,2514,71
2021-09-21,2514,71
2021-09-22,2575,71
2021-09-23,2575,71
2021-09-24,2575,71
2021-09-25,2575,71
2021-09-26,2575,71
2021-09-27,2575,71
2021-09-28,2575,71
2021-09-29,2625,71
2021-09-30,2625,71
2021-10-01,2625,71
2021-10-02,2625,71
2021-10-03,2625,71
2021-10-04,2625,71
2021-10-05,2625,71
2021-10-06,2657,72
2021-10-07,2657,72
2021-10-08,2657,72
2021-10-09,2657,72
2021-10-10,2657,72
2021-10-11,2657,72
2021-10-12,2657,72
2021-10-13,2694,73
2021-10-14,2694,73
2021-10-15,2694,73
2021-10-16,2694,73
2021-10-17,2694,73
2021-10-18,2694,73
2021-10-19,2694,73
2021-10-20,2718,73
2021-10-21,2718,73
2021-10-22,2718,73
2021-10-23,2718,73
2021-10-24,2718,73
2021-10-25,2718,73
2021-10-26,2718,73
2021-10-27,2750,74
2021-10-28,2750,74
2021-10-29,2750,74
2021-10-30,2750,74
2021-10-31,2750,74
2021-11-01,2750,74
2021-11-02,2750,74
2021-11-03,2783,74
2021-11-04,2783,74
2021-11-05,2783,74
2021-11-06,2783,74
2021-11-07,2783,74
2021-11-08,2783,74
2021-11-09,2783,74
2021-11-10,2817,76
2021-11-11,2817,76
2021-11-12,2817,76
2021-11-13,2817,76
2021-11-14,2817,76
2021-11-15,2817,76
2021-11-16,2817,76
2021-11-17,2853,76
2021-11-18,2853,76
2021-11-19,2853,76
2021-11-20,2853,76
2021-11-21,2853,76
2021-11-22,2853,76
2021-11-23,2853,76
2021-11-24,2895,77
2021-11-25,2895,77
2021-11-26,2895,77
2021-11-27,2895,77
2021-11-28,2895,77
2021-11-29,2895,77
2021-11-30,2895,77
2021-12-01,2935,77
2021-12-02,2935,77
2021-12-03,2935,77
2021-12-04,2935,77
2021-12-05,2935,77
2021-12-06,2935,77
2021-12-07,2935,77
2021-12-08,3040,78
2021-12-09,3040,78
2021-12-10,3040,78
2021-12-11,3040,78
2021-12-12,3040,78
2021-12-13,3040,78
2021-12-14,3040,78
2021-12-15,3099,80
2021-12-16,3099,80
2021-12-17,3099,80
2021-12-18,3099,80
2021-12-19,3099,80
2021-12-20,3099,80
2021-12-21,3099,80
2021-12-22,3151,80
2021-12-23,3151,80
2021-12-24,3151,80
2021-12-25,3151,80
2021-12-26,3151,80
2021-12-27,3151,80
2021-12-28,3151,80
2021-12-29,3226,80
2021-12-30,3226,80
2021-12-31,3226,80
2022-01-01,3226,80
2022-01-02,3226,80
2022-01-03,3226,80
2022-01-04,3226,80
2022-01-05,3313,81
2022-01-06,3313,81
2022-01-07,3313,81
2022-01-08,3313,81
2022-01-09,3313,81
2022-01-10,3313,81
2022-01-11,3313,81
2022-01-12,3430,83
2022-01-13,3430,83
2022-01-14,3430,83
2022-01-15,3430,83
2022-01-16,3430,83
2022-01-17,3430,83
2022-01-18,3430,83
2022-01-19,3545,84
2022-01-20,3545,84
2022-01-21,3545,84
2022-01-22,3545,84
2022-01-23,3545,84
2022-01-24,3545,84
2022-01-25,3545,84
2022-01-26,3606,85
2022-01-27,3606,85
2022-01-28,3606,85
2022-01-29,3606,85
2022-01-30,3606,85
2022-01-31,3606,85
2022-02-01,3606,85
2022-02-02,3637,85
2022-02-03,3637,85
2022-02-04,3637,85
2022-02-05,3637,85
2022-02-06,3637,85
2022-02-07,3637,85
2022-02-08,3637,85
2022-02-09,3689,86
2022-02-10,3689,86
2022-02-11,3689,86
2022-02-12,3689,86
2022-02-13,3689,86
2022-02-14,3689,86
2022-02-15,3689,86
2022-02-16,3730,86
2022-02-17,3730,86
2022-02-18,3730,86
2022-02-19,3730,86
2022-02-20,3730,86
2022-02-21,3730,86
2022-02-22,3730,86
2022-02-23,3751,86
2022-02-24,3751,86
2022-02-25,3751,86
2022-02-26,3751,86
2022-02-27,3751,86
2022-02-28,3751,86
2022-03-01,3751,86
2022-03-02,3761,86
2022-03-03,3761,86
2022-03-04,3761,86
2022-03-05,3761,86
2022-03-06,3761,86
2022-03-07,3761,86
2022-03-08,3761,86
2022-03-09,3766,87
2022-03-10,3766,87
2022-03-11,3766,87
2022-03-12,3766,87
2022-03-13,3766,87
2022-03-14,3766,87
2022-03-15,3766,87
2022-03-16,3767,88
2022-03-17,3767,88
2022-03-18,3767,88
